Unnamed: 0,case_id,solver_status,termination_condition,objective_metric,objective_value,objective_unit,total_costs,operating_costs,methanol_output_period,CAPEX_technologies,CAPEX_total_technologies,OPEX_fix_technologies,CAPEX_industries,CAPEX_total_industries,OPEX_fix_industries,solver_time,start_time,end_time,time_step,direct_emitted_co2,indirect_emitted_co2,technology_symbiosis,direct_symbiosis,wt_scale,pv_scale,bess_scale,anaerobic_digester_lvl2_scale,compressor_biogas_scale,steam_generator_scale,reformer_auto_scale,reverse_water_gas_shift_scale,compressor_syngas_mp_to_hp_scale,electrolyzer_lvl2_scale,storage_o2_l_scale,compressor_h2_lp_to_mp_scale,compressor_h2_mp_to_hp_scale,cgh2_scale,biogas_storage_scale,compressor_cgh2_scale,meohsyn_syngas_scale,distillery_syngas_scale,fuel_boiler_aux_scale,storage_meoh_scale,genset_gas_scale,wt_CAPEX,pv_CAPEX,bess_CAPEX,anaerobic_digester_lvl2_CAPEX,compressor_biogas_CAPEX,steam_generator_CAPEX,reformer_auto_CAPEX,reverse_water_gas_shift_CAPEX,compressor_syngas_mp_to_hp_CAPEX,electrolyzer_lvl2_CAPEX,storage_o2_l_CAPEX,compressor_h2_lp_to_mp_CAPEX,compressor_h2_mp_to_hp_CAPEX,cgh2_CAPEX,biogas_storage_CAPEX,compressor_cgh2_CAPEX,meohsyn_syngas_CAPEX,distillery_syngas_CAPEX,fuel_boiler_aux_CAPEX,storage_meoh_CAPEX,genset_gas_CAPEX,wt_OPEX_fix,pv_OPEX_fix,bess_OPEX_fix,anaerobic_digester_lvl2_OPEX_fix,compressor_biogas_OPEX_fix,steam_generator_OPEX_fix,reformer_auto_OPEX_fix,reverse_water_gas_shift_OPEX_fix,compressor_syngas_mp_to_hp_OPEX_fix,electrolyzer_lvl2_OPEX_fix,storage_o2_l_OPEX_fix,compressor_h2_lp_to_mp_OPEX_fix,compressor_h2_mp_to_hp_OPEX_fix,cgh2_OPEX_fix,biogas_storage_OPEX_fix,compressor_cgh2_OPEX_fix,meohsyn_syngas_OPEX_fix,distillery_syngas_OPEX_fix,fuel_boiler_aux_OPEX_fix,storage_meoh_OPEX_fix,genset_gas_OPEX_fix,optimization_mode,bo_penalized,bo_objective,_termination_condition_norm,abs_cost_gap,rel_cost_gap,layout_distance
315,315,ok,optimal,lcom,778.0961593,USD/ton,-23955723.6,-36175787.46,24754.09665,8292420.99,165999914.1,3927642.868,0,0,0,48.91578794,01.01.2025 00:00:00,31.12.2025 22:00:00,1,,,1,1,0,49.71410723,158.3734386,20000,205479.4521,1665267.036,13966.2509,12540038.29,198058.7104,8.623699854,0,305072.006,60667.72847,0,7,162069.5032,24959.02878,24959.02878,118545.8272,288,0,0,38749503.15,30067539.06,17237350.06,1999119.309,897925.0323,1063468.71,5734707.686,1950454.534,21244118.72,0,2152323.065,729356.0034,0,700000,1440121.551,22166261.75,18731675.39,454820.5855,681169.5218,0,0,273521.9631,360728.0919,603169.5106,83832.35458,26931.6008,42529.03636,286669.9196,81791.6146,424785.3877,0,90256.8994,30585.28364,0,0,0,664836.0289,936369.9375,1204.819062,20430.42011,0,BO,0,778.0961593,optimal,16.90382721,2.220703822,0.266606696
316,316,ok,optimal,lcom,791.8898438,USD/ton,-25015681.83,-38254613.87,26144.51728,9012962.614,180423910.2,4225969.431,0,0,0,50.91722488,01.01.2025 00:00:00,31.12.2025 22:00:00,1,,,1,1,0,55.03764719,192.8883573,20000,205479.4521,1577789.064,13232.5912,12540038.29,211688.9686,9.268836573,0,327894.3626,65206.26529,0,7,174193.8801,26676.69122,26676.69122,112318.5085,288,0,0,42464726.57,35204389.6,17237350.06,1999119.309,859987.4706,1013055.566,5734707.686,2039396.637,22669250.04,0,2258913.633,765476.2644,0,700000,1511441.408,23262054.05,21584201.61,438670.7737,681169.5218,0,0,299746.6917,422356.2248,603169.5106,83832.35458,25793.73379,40512.97099,286669.9196,85521.36994,453281.5079,0,94726.73683,32099.97389,0,0,0,697702.2923,1078963.686,1162.038234,20430.42011,0,BO,0,791.8898438,optimal,30.69751172,4.032819358,0.465870522
322,322,ok,optimal,lcom,777.888997,USD/ton,-23637543.9,-35684114.17,24421.17258,8129576.267,162740044.7,3916993.997,0,0,0,48.28594851,01.01.2025 00:00:00,31.12.2025 22:00:00,1,,,1,1,0,43.69502384,154.3689246,20000,205479.4521,1716291.854,14394.18551,12540038.29,195753.569,9.385162899,0,332009.5227,66024.621,0,7,176380.0589,24668.5387,24668.5387,122178.1451,288,0,0,34500329.33,29457772.91,17237350.06,1999119.309,919868.7892,1092751.086,5734707.686,1935215.698,22925144.62,0,2277868.989,771899.6506,0,700000,1524124.456,21978921.11,18539690.33,464111.1202,681169.5218,0,0,243528.2272,353412.5687,603169.5106,83832.35458,27589.7632,43700.06396,286669.9196,81152.57945,458398.2312,0,95521.62289,32369.3363,0,0,0,659217.0929,926772.8764,1229.429674,20430.42011,0,BO,0,777.888997,optimal,16.69666491,2.193488322,0.257396348
325,325,ok,optimal,lcom,777.7733885,USD/ton,-22440502.82,-33702207.93,23182.25438,7558873.395,151315561,3702831.708,0,0,0,49.73936415,01.01.2025 00:00:00,31.12.2025 22:00:00,1,,,1,1,0,42.31321917,121.7990185,20000,205479.4521,1600419.893,13422.3913,12540038.29,185971.7284,8.000793883,0,283036.0844,56285.58497,0,7,150362.9198,23435.84744,23435.84744,113929.5356,288,0,0,33516828.63,24370645.8,17237350.06,1999119.309,869841.4992,1026123.814,5734707.686,1869878.241,19857941.38,0,2046877.683,693623.8109,0,700000,1369567.938,21177069.81,17721939.35,442876.5142,681169.5218,0,0,236585.9694,292380.9807,603169.5106,83832.35458,26089.28716,41035.58155,286669.9196,78412.67654,397068.1693,0,85835.08496,29086.8669,0,0,0,635167.0458,885894.662,1173.179235,20430.42011,0,BO,0,777.7733885,optimal,16.58105637,2.178300499,0.081584826
326,326,ok,optimal,lcom,776.3590177,USD/ton,-22758267.44,-34230723.82,23483.34731,7704200.935,154224766.8,3768255.446,0,0,0,49.05912662,01.01.2025 00:00:00,31.12.2025 22:00:00,1,,,1,1,0,40.37147664,139.6711598,20000,205479.4521,1864758.393,15639.34373,12540038.29,188184.3637,8.304354384,0,293774.8407,58421.13309,0,7,156067.8841,23714.68005,23714.68005,132747.0739,288,0,0,32129327.04,27191765.02,17237350.06,1999119.309,982994.3625,1177469.138,5734707.686,1884754.787,20534765,0,2098590.302,711147.6249,0,700000,1404168.904,21359442.28,17907355.71,490640.0908,681169.5218,0,0,226791.9816,326226.6822,603169.5106,83832.35458,29483.09804,47088.0124,286669.9196,79036.51917,410601.5517,0,88003.63517,29821.72178,0,0,0,640636.971,895163.3635,1299.704878,20430.42011,0,BO,0,776.3590177,optimal,15.16668558,1.992490589,0.218748329
327,327,ok,optimal,lcom,777.0780928,USD/ton,-22933911.75,-34520010.14,23678.50237,7792153.718,155985429.3,3793944.681,0,0,0,46.54311228,01.01.2025 00:00:00,31.12.2025 22:00:00,1,,,1,1,0,42.81943242,136.8699207,20000,205479.4521,1712585.46,14363.10075,12540038.29,189866.1819,8.534873821,0,301929.6963,60042.83733,0,4.478342646,160400.1512,23926.61998,23926.61998,121914.297,288,0,0,33877493.75,26754597.35,17237350.06,1999119.309,918279.2539,1090627.004,5734707.686,1896023.824,21047079.66,0,2137444.202,724314.0149,0,447834.2646,1430166.088,21497668.82,18048115.13,463439.3634,681169.5218,0,0,239131.8041,320981.868,603169.5106,83832.35458,27542.08803,43615.12011,286669.9196,79509.08222,420845.5061,0,89632.95958,30373.84965,0,0,0,644782.8204,902199.7277,1227.650192,20430.42011,0,BO,0,777.0780928,optimal,15.88576068,2.086957528,0.395853307
329,329,ok,optimal,lcom,766.7357917,USD/ton,-23373086.92,-34825942.14,23929.56285,7682153.307,153783411.5,3770701.907,0,0,0,49.82908487,01.01.2025 00:00:00,31.12.2025 22:00:00,1,,,1,1,0,39.38254398,146.9118349,20000,205479.4521,1661467.066,13934.38133,12540038.29,192522.4793,7.775570436,0,275068.5797,54701.13802,0,7,146130.183,24261.36216,24261.36216,118275.3177,288,0,0,31420120.63,28313752.63,17237350.06,1999119.309,896285.4788,1061284.406,5734707.686,1913755.516,19354122.44,0,2008090.77,680480.1205,0,700000,1343615.575,21715303.03,18270129.35,454124.9609,681169.5218,0,0,221785.8909,339687.4596,603169.5106,83832.35458,26882.42542,42441.68413,286669.9196,80252.65439,386994.0906,0,84208.56961,28535.69094,0,0,0,651310.3559,913297.9045,1202.976353,20430.42011,0,BO,0,766.7357917,optimal,5.543459621,0.728260045,0.170460231
330,330,ok,optimal,lcom,776.6331448,USD/ton,-23728248.1,-35650456.25,24489.71793,7952885.452,159203000.4,3969322.704,0,0,0,47.99983048,01.01.2025 00:00:00,31.12.2025 22:00:00,1,,,1,1,0,40.34162987,144.8522005,20000,205479.4521,1681814.679,14105.03257,12540038.29,205512.8747,8.21320781,0,290550.4395,57779.91695,0,7,154354.921,25898.39015,25898.39015,119723.8089,288,0,0,32107948.26,27995748.59,17237350.06,1999119.309,905056.0622,1072974.855,5734707.686,1999337.167,20331807.1,0,2083129.694,705908.5009,0,700000,1393824.196,22768013.78,21029061.89,457843.7212,681169.5218,0,0,226641.0748,335872.2824,603169.5106,83832.35458,27145.48285,42909.19534,286669.9196,83841.49039,406543.3204,0,87355.30008,29602.02099,0,0,0,682884.4681,1051213.037,1212.827344,20430.42011,0,BO,0,776.6331448,optimal,15.44081269,2.028503446,0.234667766
332,332,ok,optimal,lcom,779.9560812,USD/ton,-23110513.8,-34749790.79,23917.12398,7720270.279,154546447.3,3919006.709,0,0,0,46.80103707,01.01.2025 00:00:00,31.12.2025 22:00:00,1,,,1,1,0,37.66241912,136.5508705,20000,205479.4521,1729298.332,14503.26816,12540038.29,206402.6266,7.673223477,0,271447.9537,53981.12716,0,4.400619656,144206.7254,26010.5152,26010.5152,123104.0409,288,0,0,30182266.46,26704692.75,17237350.06,1999119.309,925441.3676,1100201.29,5734707.686,2005132.535,19124694.77,0,1990342.806,674465.8819,0,440061.9656,1331740.394,22839436.26,21109159.55,466464.6721,681169.5218,0,0,213048.2226,320383.1494,603169.5106,83832.35458,27756.90239,43998.0041,286669.9196,84084.51706,382406.5846,0,83464.31504,28283.48599,0,0,0,685026.6533,1055217.006,1235.66423,20430.42011,0,BO,0,779.9560812,optimal,18.76374912,2.46504705,0.432562452
334,334,ok,optimal,lcom,789.4902652,USD/ton,-24544706.02,-37401450.21,25601.43842,8623502.489,172627592.6,4233241.7,0,0,0,46.87950349,01.01.2025 00:00:00,31.12.2025 22:00:00,1,,,1,1,0,46.68460763,166.0826239,20000,205479.4521,1635309.322,13715.00173,12540038.29,227153.3147,8.974146613,0,317469.4106,63133.12142,0,7,168655.6244,28625.48235,28625.48235,116413.2191,288,0,0,36617677.87,31232831.98,17237350.06,1999119.309,884978.8681,1046234.75,5734707.686,2138049.074,22019542.67,0,2210538.806,749083.5253,0,700000,1479073.762,24482072.39,22965840.19,449322.1735,681169.5218,0,0,258474.0015,374708.4144,603169.5106,83832.35458,26543.30454,41839.83534,286669.9196,89658.3247,440290.3267,0,92698.15573,31412.55023,0,0,0,734294.4864,1148029.842,1190.253776,20430.42011,0,BO,0,789.4902652,optimal,28.29793315,3.717579902,0.442572795
